fips_cod,county,total,dem,gop,other,dem_prop,gop_prop,other_prop,state,state_name
45073,Oconee County,33530,7979,24096,1455,0.23796600059648076,0.7186400238592305,0.0433939755442887,SC,South Carolina
36101,Steuben County,38373,11215,25091,2067,0.2922627889401402,0.6538712115289396,0.05386599953092018,NY,New York
37143,Perquimans County,6595,2291,4143,161,0.3473843821076573,0.6282031842304776,0.02441243366186505,NC,North Carolina
28035,Forrest County,27284,11271,15149,864,0.4130992523090456,0.5552338366808386,0.03166691101011582,MS,Mississippi
31027,Cedar County,4360,572,3533,255,0.13119266055045872,0.8103211009174311,0.058486238532110095,NE,Nebraska
13141,Hancock County,3572,2695,841,36,0.7544792833146696,0.23544232922732364,0.010078387458006719,GA,Georgia
39091,Logan County,21007,4537,15586,884,0.21597562717189508,0.7419431618032084,0.04208121102489646,OH,Ohio
39059,Guernsey County,16156,4286,11164,706,0.2652884377321119,0.6910126268878435,0.043698935380044567,OH,Ohio
48297,Live Oak County,4267,739,3450,78,0.17318959456292476,0.8085305835481603,0.01827982188891493,TX,Texas
47151,Scott County,7123,934,6044,145,0.13112452618278816,0.8485188824933315,0.020356591323880388,TN,Tennessee
30027,Fergus County,5782,1196,4235,351,0.20684884123140782,0.7324455205811138,0.06070563818747838,MT,Montana
35021,Harding County,527,156,311,60,0.29601518026565465,0.5901328273244781,0.11385199240986717,NM,New Mexico
23027,Waldo County,22630,10442,10378,1810,0.4614228899690676,0.45859478568272205,0.07998232434821034,ME,Maine
49007,Carbon County,7654,1673,5055,926,0.21857852103475306,0.6604389861510321,0.12098249281421479,UT,Utah
20053,Ellsworth County,2626,515,1933,178,0.19611576542269613,0.736100533130236,0.06778370144706779,KS,Kansas
27113,Pennington County,6671,2146,4000,525,0.3216909009144056,0.599610253335332,0.07869884575026233,MN,Minnesota
27159,Wadena County,6894,1684,4837,373,0.24427038004061502,0.7016246011024079,0.054105018856977084,MN,Minnesota
18131,Pulaski County,5437,1327,3854,256,0.24406842008460547,0.7088467905094721,0.04708478940592238,IN,Indiana
38041,Hettinger County,1261,168,1032,61,0.13322759714512292,0.8183980967486122,0.04837430610626487,ND,North Dakota
28003,Alcorn County,14781,2684,11817,280,0.18158446654488872,0.7994722955145118,0.01894323794059942,MS,Mississippi
19143,Osceola County,3197,552,2528,117,0.17266187050359713,0.7907413199874883,0.036596809508914606,IA,Iowa
50009,Essex County,2706,1019,1506,181,0.3765705838876571,0.5565410199556541,0.06688839615668885,VT,Vermont
01015,Calhoun County,47376,13197,32803,1376,0.27855876393110435,0.6923969942586964,0.029044241810199257,AL,Alabama
13253,Seminole County,3577,1186,2343,48,0.33156276209113783,0.6550181716522225,0.013419066256639642,GA,Georgia
06105,Trinity County,4716,1876,2409,431,0.3977947413061917,0.5108142493638677,0.09139100932994063,CA,California
17181,Union County,8514,2389,5780,345,0.28059666431759456,0.6788818416725394,0.040521494009866106,IL,Illinois
31055,Douglas County,219531,105207,102151,12173,0.47923527884444567,0.4653146935968041,0.055450027558750246,NE,Nebraska
51670,Hopewell City,8968,4722,3885,361,0.5265388046387154,0.43320695807314896,0.04025423728813559,VA,Virginia
20095,Kingman County,3281,594,2507,180,0.18104236513258154,0.7640963120999695,0.05486132276744895,KS,Kansas
21209,Scott County,24159,7713,15052,1394,0.31925990314168634,0.6230390330725609,0.057701063785752724,KY,Kentucky
48467,Van Zandt County,21689,2792,18436,461,0.12872884872516022,0.8500161372124119,0.021255014062427958,TX,Texas
31177,Washington County,10584,2606,7374,604,0.2462207105064248,0.6967120181405896,0.057067271352985637,NE,Nebraska
29199,Scotland County,1968,365,1525,78,0.18546747967479674,0.7748983739837398,0.039634146341463415,MO,Missouri
47027,Clay County,2919,707,2140,72,0.2422062350119904,0.7331277834874957,0.024665981500513873,TN,Tennessee
55111,Sauk County,33848,16050,15871,1927,0.47417868116284567,0.46889033325454976,0.056930985582604586,WI,Wisconsin
48045,Briscoe County,734,91,625,18,0.12397820163487738,0.8514986376021798,0.02452316076294278,TX,Texas
45007,Anderson County,80296,21040,56109,3147,0.2620304871973697,0.6987770250074724,0.03919248779515792,SC,South Carolina
48125,Dickens County,909,128,755,26,0.1408140814081408,0.8305830583058306,0.028602860286028604,TX,Texas
19173,Taylor County,3003,755,2108,140,0.2514152514152514,0.701964701964702,0.046620046620046623,IA,Iowa
37193,Wilkes County,30844,6596,23613,635,0.2138503436648943,0.7655621838931397,0.020587472441966022,NC,North Carolina
27081,Lincoln County,3002,860,1930,212,0.2864756828780813,0.64290473017988,0.07061958694203864,MN,Minnesota
48369,Parmer County,2818,848,1911,59,0.30092264017033354,0.6781405251951739,0.020936834634492547,TX,Texas
01005,Barbour County,10390,4848,5431,111,0.46660250240615975,0.5227141482194417,0.01068334937439846,AL,Alabama
42125,Washington County,96945,34436,58941,3568,0.35521171798442414,0.607983908401671,0.03680437361390479,PA,Pennsylvania
51035,Carroll County,13587,2557,10653,377,0.18819459777728711,0.7840582910134688,0.02774711120924413,VA,Virginia
47033,Crockett County,5386,1302,3977,107,0.24173783884144076,0.7383958410694393,0.01986632008911994,TN,Tennessee
39021,Champaign County,17597,4488,12314,795,0.2550434733193158,0.699778371313292,0.04517815536739217,OH,Ohio
36049,Lewis County,10312,2828,6916,568,0.2742435996896819,0.6706749418153607,0.05508145849495733,NY,New York
29143,New Madrid County,7352,1933,5270,149,0.26292165397170836,0.7168117519042437,0.02026659412404788,MO,Missouri
51135,Nottoway County,6717,2829,3712,176,0.4211701652523448,0.5526276611582551,0.02620217358940003,VA,Virginia
26089,Leelanau County,14757,6774,7239,744,0.45903638951006304,0.49054685911770685,0.05041675137223013,MI,Michigan
48275,Knox County,1358,247,1078,33,0.18188512518409425,0.7938144329896907,0.024300441826215022,TX,Texas
51073,Gloucester County,19524,5399,13087,1038,0.27653144847367345,0.6703032165539848,0.053165334972341736,VA,Virginia
35051,Sierra County,5129,1600,2998,531,0.31195164749463833,0.5845193994930785,0.1035289530122831,NM,New Mexico
06069,San Benito County,11758,6751,4358,649,0.5741622724953224,0.3706412655213472,0.055196461983330496,CA,California
41051,Multnomah County,357762,271754,63055,22953,0.7595943672050134,0.17624845567723793,0.06415717711774867,OR,Oregon
51610,Falls Church City,7667,5810,1323,534,0.7577931394287205,0.17255771488196164,0.06964914568931786,VA,Virginia
48195,Hansford County,1947,171,1730,46,0.08782742681047766,0.8885464817668207,0.02362609142270159,TX,Texas
13025,Brantley County,6285,619,5561,105,0.0984884645982498,0.8848050914876691,0.016706443914081145,GA,Georgia
27079,Le Sueur County,14867,4623,9182,1062,0.3109571534270532,0.6176094706396718,0.07143337593327503,MN,Minnesota
36061,New York County,591368,515481,58935,16952,0.8716755049309398,0.09965875732200592,0.028665737747054287,NY,New York
18073,Jasper County,13331,3329,9382,620,0.24971870077263522,0.703773160303053,0.04650813892431176,IN,Indiana
21183,Ohio County,10398,2080,7942,376,0.20003846893633392,0.7638007309097904,0.036160800153875745,KY,Kentucky
21081,Grant County,9551,1910,7268,373,0.19997905978431577,0.7609674379646111,0.03905350225107319,KY,Kentucky
05025,Cleveland County,3299,723,2460,116,0.21915732040012126,0.7456805092452258,0.035162170354652925,AR,Arkansas
27055,Houston County,10515,4145,5616,754,0.39419876367094625,0.5340941512125535,0.07170708511650024,MN,Minnesota
37129,New Hanover County,108737,50219,54665,3853,0.4618391164001214,0.5027267627394539,0.035434120860424696,NC,North Carolina
26013,Baraga County,3486,1156,2158,172,0.33161216293746415,0.6190476190476191,0.04934021801491681,MI,Michigan
48189,Hale County,8802,2090,6347,365,0.23744603499204725,0.7210861167916383,0.041467848216314475,TX,Texas
20171,Scott County,2159,232,1832,95,0.10745715609078277,0.8485409911996294,0.04400185270958777,KS,Kansas
48211,Hemphill County,1687,181,1460,46,0.10729104919976289,0.8654416123295792,0.027267338470657973,TX,Texas
15007,Kauai County,26335,16456,7574,2305,0.6248718435542054,0.2876020505031327,0.08752610594266186,HI,Hawaii
54047,McDowell County,6179,1429,4614,136,0.23126719533905163,0.7467227706748665,0.02201003398608189,WV,West Virginia
22043,Grant Parish,8819,1181,7406,232,0.1339154099104207,0.8397777525796576,0.02630683750992176,LA,Louisiana
39143,Sandusky County,27491,9733,16045,1713,0.3540431413917282,0.5836455567276563,0.062311301880615476,OH,Ohio
48465,Val Verde County,13476,6920,5856,700,0.5135054912436925,0.43455031166518254,0.051944197091124966,TX,Texas
48279,Lamb County,3905,770,3040,95,0.19718309859154928,0.7784891165172856,0.024327784891165175,TX,Texas
37041,Chowan County,7108,2965,3983,160,0.4171356218345526,0.5603545301069218,0.022509848058525603,NC,North Carolina
38085,Sioux County,1177,758,256,163,0.6440101954120646,0.21750212404418012,0.13848768054375532,ND,North Dakota
39115,Morgan County,6290,1711,4315,264,0.2720190779014308,0.6860095389507154,0.04197138314785374,OH,Ohio
01057,Fayette County,8196,1358,6705,133,0.16569058077110785,0.818081991215227,0.016227428013665203,AL,Alabama
22017,Caddo Parish,105737,53448,48977,3312,0.5054805791728534,0.4631964213094754,0.0313229995176712,LA,Louisiana
13191,McIntosh County,5893,2298,3482,113,0.3899541829288987,0.5908705243509248,0.01917529272017648,GA,Georgia
51109,Louisa County,17507,6208,10507,792,0.3546010167361627,0.6001599360255898,0.04523904723824756,VA,Virginia
46121,Todd County,2125,1505,487,133,0.7082352941176471,0.2291764705882353,0.06258823529411765,SD,South Dakota
31085,Hayes County,510,30,471,9,0.058823529411764705,0.9235294117647059,0.01764705882352941,NE,Nebraska
55113,Sawyer County,7767,2846,4625,296,0.36642204197244754,0.5954680056649929,0.03810995236255955,WI,Wisconsin
06083,Santa Barbara County,139366,85147,45788,8431,0.6109596314739606,0.32854498227688245,0.060495386249156895,CA,California
51820,Waynesboro City,9114,3762,4798,554,0.412771560236998,0.5264428351985956,0.06078560456440641,VA,Virginia
28049,Hinds County,91536,64922,24919,1695,0.7092510050690439,0.2722316902639399,0.018517304667016257,MS,Mississippi
44003,Kent County,79691,37582,38141,3968,0.4715965416420926,0.4786111355109109,0.04979232284699652,RI,Rhode Island
21229,Washington County,5621,1420,4013,188,0.2526240882405266,0.7139299057107277,0.03344600604874577,KY,Kentucky
37065,Edgecombe County,24653,16152,8219,282,0.6551738125177463,0.33338741735285765,0.011438770129396017,NC,North Carolina
27029,Clearwater County,4225,1100,2925,200,0.2603550295857988,0.6923076923076923,0.047337278106508875,MN,Minnesota
17061,Greene County,5542,1202,4139,201,0.2168892096715987,0.7468422952002887,0.036268495128112595,IL,Illinois
21029,Bullitt County,36036,8255,26210,1571,0.22907647907647907,0.7273282273282273,0.04359529359529359,KY,Kentucky
51071,Giles County,8196,1949,5930,317,0.23779892630551488,0.7235236700829673,0.038677403611517815,VA,Virginia
20083,Hodgeman County,1006,124,845,37,0.12326043737574553,0.8399602385685885,0.036779324055666,KS,Kansas
20045,Douglas County,48231,30089,14308,3834,0.6238518794965894,0.2966556778835189,0.07949244261989177,KS,Kansas
40097,Mayes County,15712,3423,11550,739,0.21785896130346233,0.7351069246435845,0.04703411405295316,OK,Oklahoma
22105,Tangipahoa Parish,52381,16869,33933,1579,0.322044252687043,0.6478112292625189,0.030144518050438135,LA,Louisiana
36013,Chautauqua County,49381,17281,29418,2682,0.34995241084627693,0.5957352017982624,0.0543123873554606,NY,New York
25007,Dukes County,11434,8338,2474,622,0.7292286164072066,0.21637222319398286,0.05439916039881056,MA,Massachusetts
20127,Morris County,2568,586,1790,192,0.22819314641744548,0.6970404984423676,0.07476635514018691,KS,Kansas
48141,El Paso County,210458,145509,54567,10382,0.6913921067386367,0.2592773855115985,0.0493305077497648,TX,Texas
30025,Fallon County,1474,154,1276,44,0.1044776119402985,0.8656716417910447,0.029850746268656716,MT,Montana
55019,Clark County,13548,4225,8645,678,0.3118541482137585,0.6381015648066135,0.05004428697962799,WI,Wisconsin
19165,Shelby County,6270,1649,4340,281,0.2629984051036683,0.6921850079744817,0.04481658692185008,IA,Iowa
13103,Effingham County,23395,4851,17865,679,0.20735199829023296,0.7636247061337893,0.029023295575977773,GA,Georgia
55011,Buffalo County,6921,2531,4049,341,0.3656985984684294,0.5850310648750181,0.04927033665655252,WI,Wisconsin
31051,Dixon County,2744,556,2041,147,0.20262390670553937,0.7438046647230321,0.05357142857142857,NE,Nebraska
41023,Grant County,4171,732,3187,252,0.1754974826180772,0.7640853512347159,0.06041716614720691,OR,Oregon
